,word,count
310,aria,1649
311,arian,1162
312,arie,965
313,aries,672
314,arin,2365
315,aris,821
316,ark,5192
317,arlie,932
318,arm,5087
319,arma,612
320,arme,1169
321,armed,746
322,armi,628
323,armin,505
324,arming,503
325,arms,746
326,arn,3528
327,arne,1590
328,arol,457
329,around,2481
330,arrest,725
331,arrested,397
332,arrive,317
333,arrived,203
334,ars,10056
335,arsh,400
336,art,23167
337,arte,2188
338,artic,3942
339,article,2194
340,articular,1038
341,artie,577
342,artis,451
343,artist,143
344,arts,845
345,arty,2784
346,ash,5652
347,ashe,634
348,ashin,2583
349,ashington,2308
350,asis,515
351,ask,2841
352,aske,1116
353,asked,1024
354,asking,363
355,asn,917
356,aso,3247
357,asp,695
358,ass,13176
359,assault,609
360,assed,539
361,asser,351
362,asses,821
363,assis,554
364,assist,547
365,assoc,583
366,associate,446
367,assum,549
368,ast,16105
369,asti,1004
370,astro,524
371,asu,1357
372,ata,2886
373,atc,2581
374,ate,59169
375,ately,2462
376,ates,9838
377,ath,7569
378,atic,3527
379,atm,697
380,ato,3971
381,atri,1018
382,ats,3103
383,att,11214
384,atta,3044
385,attack,2656
386,attacks,834
387,attempt,1305
388,attend,411
389,attention,673
390,atti,295
391,atto,432
392,attorney,375
393,atu,4179
394,au,23317
395,auc,532
396,audi,1760
397,audie,262
398,audience,256
399,aug,2015
400,aul,2170
401,ault,972
402,aun,1158
403,aura,234
404,aus,9002
405,ause,7849
406,auth,2264
407,author,2093
408,authorities,382
409,auto,562
410,av,39322
411,ava,1527
412,avail,693
413,available,629
414,ave,29557
415,aver,888
416,average,452
417,avi,5017
418,avid,998
419,aving,2060
420,avis,192
421,avoid,669
422,aw,10571
423,awa,3152
424,awar,923
425,aware,679
426,away,1688
427,aws,1155
428,ax,2700
429,axe,546
430,axes,440
431,ay,41963
432,aye,1985
433,ayer,1039
434,ayers,444
435,ayin,2317
436,az,3660
437,ba,35674
438,bab,1765
439,back,4828
440,bad,1395
441,bag,368
442,bal,4616
443,bala,455
444,bali,777
445,ball,1273
446,ballo,625
447,bam,6878
448,bama,6852
449,ban,4707
450,band,973
451,bank,2129
452,banks,733
453,bar,2312
454,barr,582
455,bart,227
456,bas,4113
457,base,2311
458,based,1401
459,basic,589
460,bass,501
461,bat,2868
462,bate,1012
463,battle,684
464,bb,2199
465,bea,1504
466,beat,490
467,bec,8797
468,became,744
469,become,2244
470,becoming,455
471,bed,2284
472,bee,11092
473,beg,2366
474,began,840
475,begin,1174
476,beginn,537
477,beginning,527
478,beh,2196
479,behavior,487
480,behind,1143
481,bei,5730
482,bel,6315
483,belie,3638
484,believe,2897
485,believed,409
486,belo,1082
487,ben,1837
488,bene,1201
489,benefit,909
490,benefits,418
491,ber,17229
492,bera,2051
493,berat,560
494,berg,623
495,bert,1571
496,best,1571
497,bet,5028
498,bett,1633
499,bette,1541
500,better,1529
501,bey,721
502,beyond,589
503,bi,17759
504,bia,1637
505,bid,486
506,big,2279
507,bigg,768
508,biggest,547
509,bil,5386
510,bill,1863
511,billion,1351
512,bin,2134
513,bing,1052
514,bio,648
515,bir,753
516,birth,435
517,bis,576
518,bit,2114
519,biti,306
520,bj,1681
521,bla,3073
522,blac,1569
523,black,1565
524,blame,649
525,ble,17447
526,bled,464
527,bli,11867
528,bling,426
529,blishment,1087
530,blo,3327
531,bloc,955
532,block,861
533,blog,670
534,blood,849
535,blow,647
536,blu,465
537,bly,2822
538,bo,32063
539,boa,923
540,boar,638
541,board,636
542,bod,2385
543,body,1957
544,bom,1350
545,bomb,1314
546,bon,843
547,boo,3277
548,book,2705
549,books,342
550,bora,360
551,borat,315
552,bord,999
553,borde,946
554,border,944
555,born,611
556,bot,3049
557,bout,11917
558,bove,882
559,box,323
560,boy,558
561,br,12593
562,bra,3205
563,brain,933
564,bran,606
565,brand,305
566,brat,539
567,bre,2485
568,brea,1809
569,break,1233
570,bri,3064
571,brie,363
572,brief,314
573,briefing,93
574,brin,1288
575,bring,1228
576,bro,2933
577,broad,715
578,brok,726
579,broke,726
580,brot,394
581,broth,386
582,brother,376
583,brought,608
584,bs,6932
585,bsc,464
586,bse,1294
587,bst,1002
588,bt,2535
589,bu,23390
590,bud,420
591,budge,325
592,budget,322
593,bui,1889
594,build,1446
595,building,705
596,built,429
597,bul,866
598,bull,552
599,bun,621
600,bur,1883
601,burg,235
602,burn,596
603,bus,2810
604,business,1452
605,bute,587
606,buy,744
607,bvi,792
608,ca,97886
609,cab,627
610,cad,1692
611,cade,1504
612,cal,20870
613,call,8084
614,calle,2299
615,called,2274
616,callin,535
617,calling,535
618,calls,582
619,cam,7986
620,came,2326
621,camp,5418
622,campa,4387
623,campaign,4352
624,cancer,624
625,candi,2486
626,candid,2456
627,candida,2443
628,candidat,2328
629,candidate,2307
630,candidates,690
631,cann,1483
632,cannot,1044
633,cans,3840
634,cant,933
635,cap,2819
636,capa,746
637,cape,464
638,capita,885
639,capital,852
640,capt,482
641,car,6632
642,card,431
643,care,2950
644,career,391
645,carr,1143
646,carrie,493
647,carried,282
648,carry,575
649,cars,224
650,cas,5036
651,case,2667
652,cases,587
653,cash,508
654,casi,389
655,cast,992
656,cat,7042
657,cate,2574
658,cation,3176
659,cause,7545
660,caused,506
661,cc,14097
662,cca,483
663,cci,1463
664,ccording,2808
665,ce,96062
666,cea,697
667,ced,5624
668,cede,574
669,cee,702
670,cef,529
671,cei,1904
672,ceived,856
673,cele,723
674,celeb,471
675,celebra,307
676,cell,911
677,cem,1989
678,cement,1506
679,cen,9687
680,cene,402
681,cent,7778
682,center,606
683,central,731
684,century,557
685,cep,2971
686,cept,2822
687,cern,1443
688,cert,1740
689,certain,1505
690,certainly,588
691,ces,14259
692,cess,5130
693,cessi,631
694,ch,73216
695,cha,12933
696,chae,987
697,chai,869
698,chair,628
699,chairman,297
700,chal,743
701,challenge,577
702,cham,277
703,chan,5526
704,chance,739
705,chang,3874
706,change,3573
707,changed,533
708,changes,516
709,char,3031
710,character,551
711,chard,401
712,charge,1324
713,charged,339
714,charges,474
715,chas,492
716,che,10005
717,check,905
718,chem,983
719,chemi,576
720,chen,634
721,cher,1478
722,chers,680
723,chest,306
724,chi,8431
725,chief,543
726,child,2786
727,children,1823
728,chin,2630
729,chine,858
730,ching,1516
731,cho,5031
732,choi,837
733,choice,814
734,chol,705
735,choo,2143
736,chose,397
737,chu,956
738,church,448
739,ci,47511
740,cia,12650
741,cial,9604
742,cials,1513
743,cid,3331
744,cide,2811
745,cided,725
746,cie,6211
747,cien,2927
748,cientist,602
749,cil,1316
750,cine,1216
751,cio,1975
752,cious,1262
753,cip,1910
754,cir,1054
755,circ,1013
756,cis,4493
757,cism,914
758,cit,5574
759,cite,643
760,cited,357
761,citi,2176
762,cities,619
763,citiz,1233
764,citizen,1232
765,citizens,932
766,city,1973
767,civ,1958
768,civil,1875
769,civilian,871
770,civilians,573
771,ck,30690
772,cke,4946
773,cked,2442
774,cker,1064
775,ckin,2031
776,cking,1994
777,cks,3007
778,cl,27235
779,cla,6262
780,claim,2595
781,claimed,649
782,claims,799
783,clare,596
784,clas,2266
785,class,2138
786,cle,9589
787,clean,550
788,clear,4206
789,clearly,576
790,cli,2105
791,clima,484
792,climat,466
793,climate,458
794,clin,884
795,cline,463
796,clos,2734
797,close,2242
798,closed,365
799,club,199
800,co,116115
801,coal,537
802,cod,513
803,code,447
804,cog,907
805,cognize,457
806,col,4589
807,coll,2444
808,collaps,608
809,collect,737
810,college,451
811,colo,1018
812,color,399
813,com,29646
814,comb,789
815,come,7097
816,comes,1813
817,comfort,292
818,comin,1892
819,coming,1888
820,comm,7823
821,comma,461
822,command,460
823,comme,2765
824,commend,495
825,comment,1939
826,comments,720
827,commit,1205
828,committed,422
829,committee,254
830,common,905
831,community,890
832,comp,7988
833,companies,708
834,company,848
835,compare,358
836,complain,401
837,comple,1847
838,complete,1382
839,completely,683
840,complex,377
841,comput,522
842,compute,499
843,computer,493
844,con,38711
845,concern,1326
846,concerne,450
847,concerned,448
848,concerns,379
849,conclu,738
850,conclude,326
851,condi,718
852,condition,705
853,conduct,712
854,confer,305
855,conference,287
856,confide,434
857,confiden,419
858,confirm,730
859,confirmed,413
860,conflict,828
861,confront,446
862,cong,628
863,congres,404
864,congress,375
865,conn,1122
866,connect,1047
867,connection,495
868,cons,8422
869,conserv,871
870,conserva,847
871,conservative,735
872,consider,1665
873,considere,480
874,considered,480
875,consist,470
876,const,1839
877,constitution,507
878,construct,542
879,construction,359
880,consume,418
881,consumer,267
882,cont,11269
883,conta,1453
884,contact,499
885,contain,776
886,conte,1667
887,content,926
888,conti,3206
889,continue,2505
890,continued,597
891,continues,602
892,contra,1145
893,contract,444
894,contro,3032
895,control,2613
896,convent,275
897,convention,273
898,conversation,320
899,convict,299
900,coo,1214
901,coop,467
902,cop,1268
903,cor,9599
904,cord,4418
905,cords,396
906,core,511
907,corp,1594
908,corporate,821
909,correct,685
910,corrupt,1342
911,corruptio,697
912,corruption,697
913,cos,1481
914,cost,1110
915,costs,320
916,cot,551
917,could,5463
918,count,8480
919,counter,725
920,countrie,1504
921,countries,1503
922,country,3748
923,counts,489
924,coup,986
925,couple,493
926,cour,3663
927,courage,711
928,cours,1819
929,course,1801
930,court,923
931,cov,3068
932,cove,3057
933,cover,3014
934,coverage,272
935,covered,965
936,cow,688
937,cq,431
938,cr,31341
939,cra,7474
940,crac,1257
941,craft,581
942,crat,4419
943,crats,1500
944,cre,11307
945,crea,5171
946,crease,1323
947,creased,487
948,creasing,660
949,create,1855
950,created,822
951,cred,1546
952,credit,607
953,cree,775
954,creen,458
955,cri,7745
956,crib,1404
957,crim,2927
958,crime,1309
959,crimes,653
960,criminal,1308
961,crip,655
962,cris,1042
963,crisis,793
964,crit,1295
965,critic,1101
966,critical,423
967,criticism,242
968,criticize,176
969,cro,3186
970,cross,1636
971,crow,464
972,crowd,370
973,cru,1155
974,cry,396
975,cs,3618
976,ct,71024
977,cta,1195
978,cte,6301
979,cto,9376
980,ctr,1129
981,cts,3879
982,ctu,4887
983,cu,23650
984,cult,2364
985,cultura,503
986,cultural,497
987,culture,822
988,cum,2302
989,cup,864
990,cure,642
991,curren,2153
992,current,1556
993,currently,553
994,cus,4431
995,cuse,1162
996,cuss,1408
997,custom,282
998,customer,201
999,cut,2785
1000,cute,519
1001,cy,9699
1002,cyc,493
1003,da,34850
1004,dab,376
1005,dad,672
1006,dai,776
1007,dal,1311
1008,dam,1979
1009,dama,792
1010,damage,641
1011,dan,2672
1012,dance,332
1013,dang,1129
1014,danger,1116
1015,dangerous,654
1016,dar,2327
1017,dark,538
1018,das,683
1019,dat,7226
1020,data,963
1021,date,3714
1022,dates,876
1023,dati,2185
1024,daughter,411
1025,day,10636
1026,days,1785
1027,db,347
1028,dc,545
1029,ddr,843
1030,de,132582
1031,dea,5644
1032,dead,824
1033,deal,1808
1034,deals,329
1035,death,1300
1036,deb,2296
1037,deba,1051
1038,debat,896
1039,debate,851
1040,debt,1004
1041,dec,5939
1042,decade,986
1043,decades,714
1044,decide,1093
1045,decided,710
1046,decision,1147
1047,declare,561
1048,declared,385
1049,decline,393
1050,declined,156
1051,ded,10095
1052,dee,2270
1053,deed,777
1054,deep,1147
1055,def,3955
1056,defeat,538
1057,defen,1678
1058,defend,810
1059,defens,761
1060,defense,647
1061,degree,401
1062,del,3788
1063,dele,460
1064,deli,1166
1065,deliver,531
1066,dem,4691
1067,demand,1043
1068,demi,522
1069,demo,2151
1070,democracy,584
1071,demon,818
1072,demons,568
1073,den,21829
1074,dence,2447
1075,dency,907
1076,deni,677
1077,dent,13949
1078,dential,2442
1079,dents,1447
1080,deo,2727
1081,dep,3796
1082,depa,481
1083,depart,481
1084,department,383
1085,depend,1446
1086,dependent,815
1087,depo,450
1088,der,27504
1089,dera,3397
1090,deri,1011
1091,dern,959
1092,des,12514
1093,desc,1346
1094,describe,878
1095,described,562
1096,dese,491
1097,desi,1309
1098,design,798
1099,designe,464
1100,despite,661
1101,destroy,1271
1102,det,2495
1103,detai,875
1104,detail,772
1105,details,455
1106,deter,994
1107,determine,557
1108,dev,2623
1109,deve,1422
1110,develop,1409
1111,develope,405
1112,development,559
1113,devi,663
1114,devic,470
1115,device,469
1116,df,617
1117,dg,4226
1118,dh,509
1119,di,78634
1120,dia,8532
1121,dian,1142
1122,dic,6134
1123,dicta,547
1124,die,4502
1125,died,523
1126,dier,599
1127,dies,1225
1128,diff,2807
1129,differ,2108
1130,difference,540
1131,different,1493
1132,difficult,678
1133,dig,1043
1134,dim,837
1135,din,18646
1136,dina,912
1137,dinar,481
1138,ding,16495
1139,dio,1420
1140,dip,395
1141,diplo,350
1142,diploma,348
1143,dir,3002
1144,dire,2652
1145,direct,2548
1146,directly,640
1147,directo,701
1148,director,699
1149,dis,12415
1150,disa,1403
1151,disc,3660
1152,disco,1299
1153,discover,900
1154,discus,1285
1155,discuss,1283
1156,discussion,485
1157,diseas,567
1158,disease,566
1159,dish,522
1160,diss,445
1161,district,227
1162,dit,5596
1163,div,2442
1164,dive,457
1165,diver,411
1166,divers,302
1167,dl,7478
1168,dm,4584
1169,dma,438
1170,dman,367
1171,dn,4080
1172,doc,2378
1173,doctor,524
1174,docu,1460
1175,document,1454
1176,documents,623
1177,doe,3770
1178,dog,793
1179,doi,1494
1180,doin,1463
1181,dol,1736
1182,doll,1439
1183,dollar,1428
1184,dollars,724
1185,dom,2795
1186,dome,412
1187,dona,604
1188,donat,558
1189,done,1577
1190,doo,710
1191,door,552
1192,dor,1434
1193,dorse,358
1194,dos,722
1195,doubt,749
1196,dow,4635
1197,doze,355
1198,dozen,321
1199,dr,11993
1200,dra,1910
1201,draw,588
1202,dre,4957
1203,dred,735
1204,dress,1082
1205,drew,433
1206,drin,390
1207,drive,719
1208,driver,158
1209,dro,1721
1210,drop,697
1211,dropp,352
1212,drug,844
1213,drugs,355
1214,ds,18439
1215,dso,127
1216,dt,384
1217,du,15673
1218,dual,1282
1219,duc,5802
1220,duca,947
1221,ducati,669
1222,duce,1823
1223,duct,2564
1224,ducts,432
1225,due,932
1226,dum,664
1227,dur,2956
1228,dus,1536
1229,dust,1430
1230,dv,3308
1231,dw,985
1232,dwa,379
1233,dy,8546
1234,ea,126462
1235,ead,16162
1236,eady,2762
1237,eaker,312
1238,eakin,1251
1239,ealing,764
1240,eally,2248
1241,ear,29451
1242,eared,792
1243,earl,3126
1244,earlier,608
1245,early,2441
1246,earn,1750
1247,earned,666
1248,ears,6020
1249,earth,605
1250,eas,15498
1251,ease,4950
1252,eased,1518
1253,eases,550
1254,easing,860
1255,eason,2669
1256,east,2907
1257,easy,508
1258,eat,16639
1259,eaten,958
1260,eater,640
1261,eating,1090
1262,eats,664
1263,eau,1030
1264,eb,8808
1265,eba,1496
1266,ebe,1008
1267,eboo,1260
1268,ebook,1245
1269,ebt,1075
1270,ebu,404
1271,ec,82133
1272,ecause,5812
1273,ecently,927
1274,eco,11151
1275,econ,4897
1276,econo,3158
1277,econom,3130
1278,economic,1721
1279,economy,1160
1280,ect,32685
1281,ection,10062
1282,ector,3313
1283,ed,190587
1284,ede,4845
1285,eden,670
1286,eder,2605
1287,edge,1530
1288,edged,247
1289,edi,13213
1290,edict,774
1291,edit,1908
1292,editor,619
1293,edl,1615
1294,edo,1512
1295,edom,1080
1296,eds,2152
1297,edu,2322
1298,educ,1779
1299,education,523
1300,edy,522
1301,ee,64160
1302,eec,1264
1303,eek,3841
1304,eeking,332
1305,eeks,920
1306,eel,2367
1307,een,17773
1308,ef,25942
1309,efe,5042
1310,eff,3662
1311,effect,1647
1312,effective,701
1313,effort,1348
1314,efforts,567
1315,efl,590
1316,efore,4506
1317,eft,2652
1318,eg,21244
1319,egal,2426
1320,egan,1023
1321,ego,1330
1322,egot,491
1323,egu,1668
1324,eh,5008
1325,ei,37153
1326,eight,1034
1327,eign,2714
1328,ein,9932
1329,eine,1301
1330,einer,798
1331,eis,461
1332,eit,2404
1333,either,1370
1334,eject,504
1335,ek,4664
1336,eke,477
1337,eks,965
1338,el,93518
1339,ela,5126
1340,elan,634
1341,elated,1063
1342,elation,1750
1343,ele,16108
1344,elec,9473
1345,elect,9381
1346,elected,1062
1347,election,6187
1348,elections,890
1349,electo,799
1350,elector,796
1351,eles,1217
1352,elf,4838
1353,eli,11740
1354,elie,4073
1355,eligious,477
1356,elit,1121
1357,elite,1011
1358,ell,14882
1359,ella,501
1360,elle,1755
1361,ello,747
1362,elly,418
1363,elm,603
1364,elon,615
1365,els,3565
1366,else,1251
1367,elves,1676
1368,ely,11363
1369,em,66982
1370,ema,9634
1371,emai,6267
1372,email,4812
1373,emails,2472
1374,eman,1386
1375,ember,6056
1376,embers,1318
1377,emen,8846
1378,emerge,601
1379,emi,4170
1380,emin,1151
1381,emo,8812
1382,emotion,393
1383,emp,4952
1384,employ,1106
1385,employee,422
1386,employees,322
1387,empt,1897
1388,ems,4075
1389,en,241246
1390,ena,3526
1391,ence,12879
1392,enced,509
1393,encourage,459
1394,end,17294
1395,enda,1377
1396,ende,4032
1397,ended,1372
1398,ender,1055
1399,ending,1850
1400,endo,826
1401,endor,418
1402,ends,1852
1403,ene,11649
1404,energy,919
1405,enes,803
1406,enforce,879
1407,enforcement,686
1408,eng,3116
1409,engage,545
1410,engin,492
1411,engine,387
1412,enjoy,355
1413,enn,1841
1414,eno,3574
1415,enough,1418
1416,ensure,423
1417,ent,92833
1418,ente,4960
1419,enten,347
1420,enter,2205
1421,entire,1395
1422,entity,428
1423,entra,1554
1424,enu,819
1425,enviro,677
1426,environ,675
1427,environment,668
1428,eny,638
1429,eo,22106
1430,eon,1437
1431,eop,12884
1432,eople,12196
1433,eos,509
1434,ep,35333
1435,epa,4125
1436,eph,709
1437,epi,1120
1438,epis,129
1439,episode,112
1440,epo,6847
1441,epr,2496
1442,epub,3389
1443,equal,693
1444,er,346624
1445,era,19347
1446,eral,8431
1447,eran,1100
1448,erb,972
1449,erc,4696
1450,ere,44791
1451,ered,5183
1452,eres,2951
1453,ergen,466
1454,eric,12340
1455,erica,12100
1456,erie,2036
1457,erin,3763
1458,erm,5942
1459,erma,1736
1460,ermine,757
1461,ero,3391
1462,erp,1388
1463,err,6166
1464,erred,429
1465,erri,1423
1466,erring,276
1467,error,2558
1468,ers,42120
1469,erso,3502
1470,erst,2129
1471,ert,9159
1472,erts,888
1473,es,225706
1474,esa,537
1475,esc,2963
1476,escribe,945
1477,esd,1096
1478,ese,14449
1479,esea,1545
1480,esh,796
1481,eso,2022
1482,esp,7075
1483,especial,917
1484,especially,881
1485,espite,1034
1486,ess,30113
1487,essa,2002
1488,esse,3629
1489,essen,671
1490,essential,449
1491,esso,959
1492,est,38987
1493,esta,3878
1494,establish,1475
1495,establishment,894
1496,este,4613
1497,esters,580
1498,estimate,442
1499,esto,1105
1500,ests,2189
1501,et,67844
1502,eta,4822
1503,etc,877
1504,etch,367
1505,eth,6596
1506,ether,2619
1507,eti,4999
1508,etic,1051
1509,etim,632
1510,eto,790
1511,etro,473
1512,ets,4265
1513,ett,6834
1514,etter,2765
1515,etti,1608
1516,etween,2725
1517,ety,1845
1518,eu,3146
1519,eur,884
1520,eut,991
1521,ev,45155
1522,eva,2112
1523,evan,572
1524,eve,33974
1525,even,9433
1526,evening,193
1527,event,2752
1528,events,715
1529,eventual,407
1530,eventually,366
1531,ever,15646
1532,evers,395
1533,every,4818
1534,everyone,950
1535,everything,1085
1536,evi,6614
1537,evidence,1567
1538,evie,938
1539,evil,788
1540,evin,367
1541,evo,1687
1542,evolution,867
1543,ew,25891
1544,ewa,730
1545,ex,29894
1546,exact,815
1547,exactly,617
1548,exam,1724
1549,example,1338
1550,except,583
1551,exchange,472
1552,exec,930
1553,executive,580
1554,exist,1585
1555,existe,619
1556,exit,518
1557,exp,9312
1558,expand,401
1559,expect,1234
1560,expected,531
1561,experience,1064
1562,expert,654
1563,experts,377
1564,explain,1386
1565,explained,485
1566,explo,801
1567,expo,1143
1568,expose,596
1569,express,783
1570,expressed,348
1571,extra,813
1572,extrem,1025
1573,extreme,790
1574,ey,34514
1575,eye,1101
1576,eyes,460
1577,ez,1385
1578,fa,24231
1579,face,1937
1580,fact,4258
1581,facto,639
1582,factor,558
1583,fai,3318
1584,fail,1599
1585,failed,652
1586,failure,442
1587,fair,1157
1588,fait,522
1589,faith,497
1590,fake,496
1591,fal,2057
1592,fall,1123
1593,false,728
1594,fam,2840
1595,familie,447
1596,families,438
1597,family,1489
1598,famous,403
1599,fan,880
1600,far,3189
1601,fare,573
1602,farm,517
1603,fas,1099
1604,fast,439
1605,fat,1321
1606,fath,621
1607,father,595
1608,fav,1121
1609,favor,1039
1610,fe,33156
1611,fea,2319
1612,fear,1210
1613,feat,1025
1614,feature,342
1615,fec,3372
1616,fed,2053
1617,fede,1628
1618,feder,1627
1619,federal,1565
1620,fee,2566
1621,feel,1610
1622,feelin,437
1623,feeling,435
1624,feet,265
1625,fell,648
1626,fellow,344
1627,felt,455
1628,fema,368
1629,female,365
1630,fen,3233
1631,fend,1058
1632,fer,8016
1633,ferenc,1535
1634,ferre,417
1635,ferri,258
1636,fess,1098
1637,fest,520
1638,fet,788
1639,ff,24289
1640,ffa,663
1641,ffice,3014
1642,ffs,361
1643,fi,40438
1644,fic,11346
1645,fica,1938
1646,fice,3240
1647,fide,520
1648,fied,2029
1649,fiel,876
1650,field,870
1651,fig,2914
1652,fight,2115
1653,fighter,422
1654,fightin,724
1655,fighting,723
1656,figur,769
1657,figure,716
1658,file,714
1659,filed,266
1660,fill,631
1661,film,681
1662,fin,7314
1663,fina,2783
1664,final,1125
1665,finally,587
1666,finan,1651
1667,financial,1153
1668,find,2113
1669,finding,366
1670,fine,831
1671,fing,523
1672,fir,6948
1673,fire,1658
1674,fired,352
1675,firm,1405
1676,firmed,456
1677,first,3737
1678,fis,689
1679,fit,2297
1680,fits,749
1681,five,830
1682,fix,461
1683,fl,8466
1684,fla,1966
1685,flag,504
1686,flat,686
1687,flo,1241
1688,flow,504
1689,flu,1617
1690,flue,1145
1691,fly,647
1692,fo,79224
1693,foc,993
1694,focus,953
1695,foll,2594
1696,follow,2571
1697,followed,365
1698,following,1063
1699,foo,2464
1700,food,1624
1701,foot,553
1702,forc,4394
1703,force,4169
1704,forced,611
1705,forces,1311
1706,ford,805
1707,fore,7067
1708,foreign,1794
1709,form,8828
1710,forma,3554
1711,forman,226
1712,format,2935
1713,formation,2733
1714,forme,2578
1715,formed,647
1716,former,1911
1717,forms,494
1718,fort,2705
1719,forts,599
1720,forward,699
1721,found,3206
1722,four,1173
1723,fr,30908
1724,fra,2388
1725,frau,745
1726,fraud,727
1727,fre,4096
1728,free,2917
1729,freed,700
1730,freedom,655
1731,fri,3102
1732,frica,1245
1733,friend,1439
1734,friends,723
1735,fro,20864
1736,front,1381
1737,fru,394
1738,fs,795
1739,ft,13038
1740,fte,7927
1741,fter,6428
1742,fti,467
1743,fu,15556
1744,fue,542
1745,fug,909
1746,ful,6751
1747,full,2651
1748,fully,1384
1749,fun,2887
1750,fund,1847
1751,funding,348
1752,fur,1281
1753,furth,996
